		Memory Set Library Cache Test

C Size		Nanosec		MB/sec		% Chnge
-------		-------		-------		-------
256             0.07            14361.19        1.00           
256             0.07            14245.38        1.01           
384             0.05            20327.40        0.70           
384             0.05            20226.30        1.00           
512             0.04            24486.06        0.83           
512             0.04            24554.94        1.00           
768             0.03            29935.01        0.82           
768             0.03            30568.25        0.98           
1024            0.03            35163.67        0.87           
1024            0.03            35254.73        1.00           
1536            0.02            39986.51        0.88           
1536            0.02            40366.20        0.99           
2048            0.02            40892.13        0.99           
2048            0.02            40319.75        1.01           
3072            0.02            44786.16        0.90           
3072            0.02            44654.78        1.00           
4096            0.02            46764.46        0.95           
4096            0.02            47254.59        0.99           
6144            0.02            49979.09        0.95           
6144            0.02            49928.32        1.00           
8192            0.02            47358.98        1.05           
8192            0.02            47266.06        1.00           
12288           0.02            50106.69        0.94           
12288           0.02            50045.67        1.00           
16384           0.02            51424.69        0.97           
16384           0.02            51288.06        1.00           
24576           0.02            52904.65        0.97           
24576           0.02            52812.81        1.00           
32768           0.02            53744.43        0.98           
32768           0.02            53831.82        1.00           
49152           0.02            53108.37        1.01           
49152           0.02            53061.89        1.00           
65536           0.02            51051.97        1.04           
65536           0.02            50911.19        1.00           
98304           0.05            17873.95        2.85           
98304           0.05            17771.41        1.01           
131072          0.05            17783.74        1.00           
131072          0.05            17669.99        1.01           
196608          0.05            17791.54        0.99           
196608          0.05            17770.72        1.00           
262144          0.05            17811.39        1.00           
262144          0.05            17825.35        1.00           
393216          0.05            17821.11        1.00           
393216          0.05            17792.83        1.00           
524288          0.05            17825.72        1.00           
524288          0.05            17822.53        1.00           
786432          0.11            8642.49         2.06           
786432          0.11            8626.02         1.00           
1048576         0.11            8554.35         1.01           
1048576         0.11            8605.22         0.99           
1572864         0.12            8019.81         1.07           
1572864         0.12            7920.95         1.01           
2097152         0.14            7026.48         1.13           
2097152         0.13            7228.55         0.97           
3145728         0.15            6535.22         1.11           
3145728         0.14            6803.72         0.96           
4194304         0.15            6489.21         1.05           
4194304         0.15            6492.38         1.00           
6291456         0.15            6299.55         1.03           
6291456         0.15            6212.20         1.01           
8388608         0.16            6017.60         1.03           
8388608         0.16            6149.15         0.98           
12582912        0.15            6294.69         0.98           
12582912        0.16            6025.94         1.04           
16777216        0.16            5886.66         1.02           
16777216        0.16            6107.28         0.96           

		Memory Copy Library Cache Test

C Size		Nanosec		MB/sec		% Chnge
-------		-------		-------		-------
256             0.03            37924.11        1.00           
256             0.03            37977.13        1.00           
384             0.02            40484.96        0.94           
384             0.02            40185.11        1.01           
512             0.02            39206.68        1.02           
512             0.02            38771.22        1.01           
768             0.03            34558.83        1.12           
768             0.03            34468.39        1.00           
1024            0.03            34228.38        1.01           
1024            0.03            34826.55        0.98           
1536            0.02            49020.58        0.71           
1536            0.02            49157.06        1.00           
2048            0.02            48399.60        1.02           
2048            0.02            48368.54        1.00           
3072            0.02            50763.98        0.95           
3072            0.02            50748.35        1.00           
4096            0.02            52032.59        0.98           
4096            0.02            51990.26        1.00           
6144            0.02            53386.56        0.97           
6144            0.02            53443.51        1.00           
8192            0.02            54134.50        0.99           
8192            0.02            54104.95        1.00           
12288           0.02            54778.19        0.99           
12288           0.02            54767.92        1.00           
16384           0.03            32290.27        1.70           
16384           0.03            32284.01        1.00           
24576           0.02            43427.26        0.74           
24576           0.02            43429.19        1.00           
32768           0.02            43522.87        1.00           
32768           0.02            43516.23        1.00           
49152           0.04            24336.44        1.79           
49152           0.04            24349.62        1.00           
65536           0.04            22397.72        1.09           
65536           0.04            22352.35        1.00           
98304           0.04            21321.94        1.05           
98304           0.04            21313.89        1.00           
131072          0.05            20874.00        1.02           
131072          0.05            20868.37        1.00           
196608          0.05            20426.71        1.02           
196608          0.05            20409.30        1.00           
262144          0.07            14636.55        1.39           
262144          0.06            14677.13        1.00           
393216          0.11            8664.83         1.69           
393216          0.11            8672.67         1.00           
524288          0.11            8697.27         1.00           
524288          0.11            8694.48         1.00           
786432          0.11            8947.71         0.97           
786432          0.11            8979.97         1.00           
1048576         0.10            9165.09         0.98           
1048576         0.10            9138.03         1.00           
1572864         0.10            9324.50         0.98           
1572864         0.10            9321.72         1.00           
2097152         0.10            9480.60         0.98           
2097152         0.10            9384.62         1.01           
3145728         0.10            9542.16         0.98           
