	Iozone: Performance Test of File I/O
	        Version $Revision: 3.398 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Fri Mar  2 14:50:19 2012

	Auto Mode
	Command line used: ./iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  287156  552557  1679761  1648808 1460430  653436  874936   727850  1204796   586352   598110  987600  1392258
              64       8  467002 1722886  1638743  1734015  969761  659861  926260   831569  1255511   673098   627470  955947  1553394
              64      16  295047  488236  1780008  1722886 1991276  476959  998622   913649  1599680   821391   555990 1083249  1279447
              64      32  323102  653436  1892980  1933893 2133730  520419  712397   659861  1183548   718114   874936  929467  1210227
              64      64  328238  645579  1933893  1879725 1947927  789967 1066042   831569   645579   695778   673098  727850  1484662
             128       4  337695  653282  1521718  1598754 1183041  460514 1102844   852438  1172704   659704   624409 1196221  1526043
             128       8  351630  673778  1827299  1727352 1967960  526961 1102844   864797  1885042   711270   722760 1504659  1727352
             128      16  370050  748976  1939522  2058509 2211113  542400 1303699  1133103  1732927   771581   805138 1363288  1377278
             128      32  376274  795593  1878447  2058509 2248149  571257 1346196  1040839  1663139   864797   864797  992724  1911894
             128      64  350482  761728  1885042  1911894 2166499  589446 1243315   990891  1487977   677178   976473 1346196  1684006
             128     128  397444  692017  2211113  2166499 2248149  962469  744820   633995   703810   831319   794416  726674  1642783
             256       4 1044693  679237  1561112  1306564 1642294  659625 1213534  1070737  1300235   742146   632429 1479379  1607865
             256       8  405062  778183  1570244  2030503 2081678  944525 1525622  1062263  1479379   750970   770920 3511189  1430119
             256      16 1237306 2170027  4350555  1752173 2015259  826078 1312954  1201314  2015259   775373   805021 1312954  1070737
             256      32  399932  727070  2754556  1489641 2034350  599585 2285501   873809  4332998   675816   799625 1471270  1729594
             256      64  387939  737558  1532153  1558845 1881098  794889 1062263  1031644  1489641   864661   870974 1422540  1572543
             256     128  393195  802614  5569035  1743637 1952947  703260 1272498  1028679  1437779   679237   999940 1044693  1686137
             256     256  432471  790209  2000242  2152625 1911233  794889 1219045   886067  1292410   847597   870974 1356067  1839210
             512       4  371035  784094  1729323  1707325 1541840  618371 1372364   949875  1230786   697505   701378 1190529  1505098
             512       8  404437  819085  1961520  1736314 1854787  934580 1590957  1212715  3659616   717069   760762 1635797  1772135
             512      16  424924  920953  1801873  2143612 2105777  772252 1783912  1446306  1829505   875164   873740 1961520  2063289
