taskNum taskID workerID startTimeStamp submitTimeStamp resultsQueueTimeStamp endTimeStamp submitTime queueExecTime resultsTime totalTime exitCode
1332879184061 scott:50316:1_939864607 QUEUE_50316 1332879182623 1332879182729 1332879184060 1332879184060 106 1331 0 1437 0
1332879185172 scott:50316:2_1639213301 QUEUE_50316 1332879182623 1332879182729 1332879185172 1332879185172 106 2443 0 2549 0
1332879186281 scott:50316:3_2006734756 QUEUE_50316 1332879182623 1332879182729 1332879186281 1332879186281 106 3552 0 3658 0
1332879187426 scott:50316:4_1960801352 QUEUE_50316 1332879182623 1332879182729 1332879187426 1332879187426 106 4697 0 4803 0
1332879188522 scott:50316:5_605059303 QUEUE_50316 1332879182623 1332879182729 1332879188522 1332879188522 106 5793 0 5899 0
1332879189635 scott:50316:6_760349468 QUEUE_50316 1332879182623 1332879182729 1332879189635 1332879189635 106 6906 0 7012 0
1332879190740 scott:50316:7_1039248084 QUEUE_50316 1332879182623 1332879182729 1332879190740 1332879190740 106 8011 0 8117 0
1332879191847 scott:50316:8_205304177 QUEUE_50316 1332879182623 1332879182729 1332879191847 1332879191847 106 9118 0 9224 0
1332879192951 scott:50316:9_1347415664 QUEUE_50316 1332879182623 1332879182729 1332879192950 1332879192950 106 10221 0 10327 0
1332879194054 scott:50316:10_2117948255 QUEUE_50316 1332879182623 1332879182729 1332879194054 1332879194054 106 11325 0 11431 0
