//taskNum taskID workerID startTimeStamp execTimeStamp resultsQueueTimeStamp endTimeStamp waitQueueTime execTime resultsQueueTime totalTime exitCode
//0-time is 1268685747576ms
1 falkon:50806:1_1780533570 falkon01:50990 48856 48969 49219 49223 113 250 4 367 1
2 falkon:50806:2_480725570 falkon01:50990 49842 50010 50179 50180 168 169 1 338 -1111
3 falkon:50486:1_528291004 falkon01:50990 234017 234202 234339 234340 185 137 1 323 1
4 falkon:50486:2_1789536721 falkon01:50990 235009 235127 235326 235327 118 199 1 318 -1111
5 falkon:50436:1_383144572 falkon01:50990 497470 497607 497724 497725 137 117 1 255 1
6 falkon:50436:2_205297641 falkon01:50990 498473 498617 498768 498769 144 151 1 296 -1111
7 falkon:50738:1_1785516868 falkon01:50990 521003 521172 521345 521346 169 173 1 343 1
8 falkon:50832:1_473209302 falkon01:50990 544567 544729 544899 544901 162 170 2 334 1
9 falkon:50073:1_1015579762 falkon01:50990 582552 582707 582835 582837 155 128 2 285 -557
10 falkon:50499:1_1994137774 falkon01:50990 634833 634966 635097 635098 133 131 1 265 -557
11 falkon:50670:1_702062001 falkon01:50990 695217 695363 695501 695502 146 138 1 285 1
12 falkon:50946:1_487786842 falkon01:50307 808114 808252 808529 808531 138 277 2 417 1
