//time_ms taskID state
1332868273003 scott:50663:1_1069948503 WAIT_QUEUE
1332868273004 scott:50663:2_557749157 WAIT_QUEUE
1332868273004 scott:50663:3_1537234986 WAIT_QUEUE
1332868273004 scott:50663:4_1014129803 WAIT_QUEUE
1332868273004 scott:50663:5_173539759 WAIT_QUEUE
1332868273004 scott:50663:6_341919514 WAIT_QUEUE
1332868273004 scott:50663:7_1614257463 WAIT_QUEUE
1332868273004 scott:50663:8_1238656432 WAIT_QUEUE
1332868273004 scott:50663:9_132265815 WAIT_QUEUE
1332868273004 scott:50663:10_1131892562 WAIT_QUEUE
1332868273184 scott:50663:1_1069948503 RUN_STATE_scott:50205
1332868273333 scott:50663:1_1069948503 FAILED_STALE_NFS_HANDLE_-557
1332868273334 scott:50663:1_1069948503 WAIT_QUEUE
1332868273335 scott:50663:2_557749157 RUN_STATE_scott:50205
1332868273459 scott:50663:2_557749157 FAILED_STALE_NFS_HANDLE_-557
1332868273459 scott:50663:2_557749157 WAIT_QUEUE
1332868273460 scott:50663:3_1537234986 RUN_STATE_scott:50205
1332868273623 scott:50663:3_1537234986 FAILED_STALE_NFS_HANDLE_-557
1332868273623 scott:50663:3_1537234986 WAIT_QUEUE
1332868273624 scott:50663:4_1014129803 RUN_STATE_scott:50205
1332868273718 scott:50663:4_1014129803 FAILED_STALE_NFS_HANDLE_-557
1332868273719 scott:50663:4_1014129803 WAIT_QUEUE
1332868273719 scott:50663:5_173539759 RUN_STATE_scott:50205
1332868273829 scott:50663:5_173539759 FAILED_STALE_NFS_HANDLE_-557
1332868273829 scott:50663:5_173539759 WAIT_QUEUE
1332868273830 scott:50663:6_341919514 RUN_STATE_scott:50205
1332868273949 scott:50663:6_341919514 FAILED_STALE_NFS_HANDLE_-557
1332868273949 scott:50663:6_341919514 WAIT_QUEUE
1332868273950 scott:50663:7_1614257463 RUN_STATE_scott:50205
1332868274059 scott:50663:7_1614257463 FAILED_STALE_NFS_HANDLE_-557
1332868274059 scott:50663:7_1614257463 WAIT_QUEUE
1332868274060 scott:50663:8_1238656432 RUN_STATE_scott:50205
1332868274187 scott:50663:8_1238656432 FAILED_STALE_NFS_HANDLE_-557
1332868274187 scott:50663:8_1238656432 WAIT_QUEUE
1332868274188 scott:50663:9_132265815 RUN_STATE_scott:50205
1332868274297 scott:50663:9_132265815 FAILED_STALE_NFS_HANDLE_-557
1332868274297 scott:50663:9_132265815 WAIT_QUEUE
1332868274298 scott:50663:10_1131892562 RUN_STATE_scott:50205
1332868274416 scott:50663:10_1131892562 FAILED_STALE_NFS_HANDLE_-557
1332868274417 scott:50663:10_1131892562 WAIT_QUEUE
1332868274417 scott:50663:1_1069948503 RUN_STATE_scott:50205
1332868274526 scott:50663:1_1069948503 FAILED_STALE_NFS_HANDLE_-557
1332868274527 scott:50663:1_1069948503 WAIT_QUEUE
1332868274527 scott:50663:2_557749157 RUN_STATE_scott:50205
1332868274631 scott:50663:2_557749157 FAILED_STALE_NFS_HANDLE_-557
1332868274631 scott:50663:2_557749157 WAIT_QUEUE
1332868274632 scott:50663:3_1537234986 RUN_STATE_scott:50205
1332868274738 scott:50663:3_1537234986 FAILED_STALE_NFS_HANDLE_-557
1332868274738 scott:50663:3_1537234986 WAIT_QUEUE
1332868274739 scott:50663:4_1014129803 RUN_STATE_scott:50205
1332868274845 scott:50663:4_1014129803 FAILED_STALE_NFS_HANDLE_-557
1332868274845 scott:50663:4_1014129803 WAIT_QUEUE
1332868274846 scott:50663:5_173539759 RUN_STATE_scott:50205
1332868274957 scott:50663:5_173539759 FAILED_STALE_NFS_HANDLE_-557
1332868274958 scott:50663:5_173539759 WAIT_QUEUE
1332868274959 scott:50663:6_341919514 RUN_STATE_scott:50205
1332868275093 scott:50663:6_341919514 FAILED_STALE_NFS_HANDLE_-557
1332868275093 scott:50663:6_341919514 WAIT_QUEUE
1332868275094 scott:50663:7_1614257463 RUN_STATE_scott:50205
1332868275195 scott:50663:7_1614257463 FAILED_STALE_NFS_HANDLE_-557
1332868275195 scott:50663:7_1614257463 WAIT_QUEUE
1332868275196 scott:50663:8_1238656432 RUN_STATE_scott:50205
1332868275305 scott:50663:8_1238656432 FAILED_STALE_NFS_HANDLE_-557
1332868275306 scott:50663:8_1238656432 WAIT_QUEUE
1332868275306 scott:50663:9_132265815 RUN_STATE_scott:50205
1332868275409 scott:50663:9_132265815 FAILED_STALE_NFS_HANDLE_-557
1332868275410 scott:50663:9_132265815 WAIT_QUEUE
1332868275410 scott:50663:10_1131892562 RUN_STATE_scott:50205
1332868275518 scott:50663:10_1131892562 FAILED_STALE_NFS_HANDLE_-557
1332868275518 scott:50663:10_1131892562 WAIT_QUEUE
1332868275518 scott:50663:1_1069948503 RUN_STATE_scott:50205
1332868275629 scott:50663:1_1069948503 FAILED_STALE_NFS_HANDLE_-557
1332868275630 scott:50663:1_1069948503 WAIT_QUEUE
1332868275631 scott:50663:2_557749157 RUN_STATE_scott:50205
1332868275738 scott:50663:2_557749157 FAILED_STALE_NFS_HANDLE_-557
1332868275738 scott:50663:2_557749157 WAIT_QUEUE
1332868365696 scott:50663:3_1537234986 RUN_STATE_scott:50722
1332868365830 scott:50663:3_1537234986 FAILED_STALE_NFS_HANDLE_-557
1332868365830 scott:50663:3_1537234986 WAIT_QUEUE
1332868365831 scott:50663:4_1014129803 RUN_STATE_scott:50722
1332868365920 scott:50663:4_1014129803 FAILED_STALE_NFS_HANDLE_-557
1332868365920 scott:50663:4_1014129803 WAIT_QUEUE
1332868373463 scott:50663:5_173539759 RUN_STATE_scott:50380
