//taskNum taskID workerID startTimeStamp execTimeStamp resultsQueueTimeStamp endTimeStamp waitQueueTime execTime resultsQueueTime totalTime exitCode
//0-time is 1332879003908ms
1 scott:50603:1_139179978 scott:50015 46688 46897 48018 48021 209 1121 3 1333 0
2 scott:50603:2_619886630 scott:50015 46688 48019 49131 49132 1331 1112 1 2444 0
3 scott:50603:3_232450075 scott:50015 46688 49132 50235 50237 2444 1103 2 3549 0
4 scott:50603:4_454048705 scott:50015 46688 50236 51380 51381 3548 1144 1 4693 0
5 scott:50603:5_1015949620 scott:50015 46688 51380 52480 52482 4692 1100 2 5794 0
6 scott:50603:6_600540839 scott:50015 46688 52481 53590 53593 5793 1109 3 6905 0
7 scott:50603:7_1825541751 scott:50015 46688 53592 54688 54690 6904 1096 2 8002 0
8 scott:50603:8_299206770 scott:50015 46688 54689 55790 55791 8001 1101 1 9103 0
9 scott:50603:9_1829014632 scott:50015 46689 55791 56894 56896 9102 1103 2 10207 0
10 scott:50603:10_66734783 scott:50015 46689 56895 57998 58000 10206 1103 2 11311 0
