CONFIG: Time_ms MaxBundling PiggyBacking PreFetching DrpAllocation DrpMinResc DrpMaxResc DrpMinTime DrpMaxTime DrpIdle Scheduler DataCaching
CONFIG: 1194385955793 1 true false disabled 0 0 0 0 0 Round-Robin false
STATE: Time_ms ResourceAllocated ResourceRegistered ResourceFree ResourcePending ResourceActive TaskNumQueues TaskSubmit TaskWaitQueue TaskDispatch TaskActive TaskDeliveryQueue TaskDelivered CacheSize CacheHits CacheMisses SystemNumThreads SystemCPUuser SystemCPUsystem SystemCPUidle SystemHeapSize SystemHeapFree SystemHeapMax SubmitTP DispatchTP DeliverTP 
STATE: 1194385955861 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 25 1 74 1524 1485 1524 0.0 0.0 0.0
STATE: 1194385956846 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 24 1 76 1524 1485 1524 0.0 0.0 0.0
STATE: 1194385957842 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 3 0 97 1524 1485 1524 0.0 0.0 0.0
STATE: 1194385958851 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 2 0 98 1524 1484 1524 0.0 0.0 0.0
STATE: 1194385959843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 2 1 98 1524 1484 1524 0.0 0.0 0.0
STATE: 1194385960970 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 5 1 95 1524 1484 1524 0.0 0.0 0.0
STATE: 1194385961842 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 5 1 95 1524 1483 1524 0.0 0.0 0.0
STATE: 1194385962840 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 3 1 96 1524 1483 1524 0.0 0.0 0.0
STATE: 1194385963842 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 2 0 98 1524 1483 1524 0.0 0.0 0.0
STATE: 1194385964837 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 2 0 98 1524 1482 1524 0.0 0.0 0.0
STATE: 1194385965848 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 2 0 98 1524 1482 1524 0.0 0.0 0.0
STATE: 1194385966852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 2 1 98 1524 1482 1524 0.0 0.0 0.0
